year,count_method,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,light_goods_vehicles,heavy_goods_vehicles,all_motor_vehicles,count_point_id
2010,Estimated using AADF from previous year on this link,5,74,2759,56,675,443,4007,512
2009,Estimated using AADF from previous year on this link,5,82,2865,49,658,446,4100,512
2008,Estimated using AADF from previous year on this link,5,77,2848,47,610,449,4031,512
2007,Manual count,5,76,2898,45,584,447,4050,512
2006,Estimated using AADF from previous year on this link,2,88,2370,38,736,402,3634,512
2005,Estimated using AADF from previous year on this link,2,84,2347,40,694,392,3557,512
2004,Estimated using AADF from previous year on this link,2,92,2373,45,638,371,3519,512
2003,Manual count,2,85,2333,56,650,382,3506,512
2002,Estimated using AADF from previous year on this link,7,98,2262,15,512,284,3171,512
2001,Manual count,7,80,2171,15,494,269,3029,512
2000,Estimated using AADF from previous year on this link,8,84,2120,14,494,272,2984,512
2024,Estimated using AADF from previous year on this link,11,59,6249,41,1260,276,7886,514
2023,Estimated using AADF from previous year on this link,10,59,6203,41,1225,274,7802,514
2022,Estimated using AADF from previous year on this link,12,60,6112,41,1186,279,7679,514
2021,Estimated using AADF from previous year on this link,13,52,5299,39,1082,274,6746,514
2020,Estimated using AADF from previous year on this link,13,45,4616,32,900,240,5833,514
2019,Estimated using AADF from previous year on this link,12,76,6870,52,1133,284,8415,514
2018,Manual count,11,75,6813,54,1137,284,8364,514
2017,Estimated using AADF from previous year on this link,18,126,7745,48,1452,340,9712,514
2016,Estimated using AADF from previous year on this link,20,126,7748,47,1363,328,9612,514
2015,Estimated using AADF from previous year on this link,17,121,7523,46,1262,317,9269,514
2014,Estimated using AADF from previous year on this link,17,120,7576,46,1159,300,9201,514
2013,Manual count,21,110,7595,44,1113,301,9163,514
2012,Estimated using AADF from previous year on this link,6,41,5924,108,1067,344,7484,514
2011,Estimated using AADF from previous year on this link,6,44,5926,102,1019,344,7435,514
2010,Estimated using AADF from previous year on this link,6,42,5879,112,939,348,7320,514
2009,Estimated using AADF from previous year on this link,6,46,6023,106,917,343,7435,514
2008,Estimated using AADF from previous year on this link,6,44,5900,88,913,351,7296,514
2007,Estimated using AADF from previous year on this link,6,49,6020,84,896,352,7401,514
2006,Estimated using AADF from previous year on this link,6,46,6057,81,812,350,7346,514
2005,Manual count,6,48,5881,80,772,350,7131,514
2004,Estimated using AADF from previous year on this link,3,25,5906,67,870,282,7150,514
2003,Estimated using AADF from previous year on this link,3,28,5842,104,818,277,7069,514
2002,Manual count,3,27,5655,54,783,289,6808,514
2001,Manual count,5,83,5309,41,763,327,6523,514
2000,Estimated using AADF from previous year on this link,4,26,4903,109,1173,269,6480,514
2024,Manual count,1,75,8152,49,2065,891,11231,515
2023,Estimated using AADF from previous year on this link,1,44,8132,46,2154,742,11118,515
2022,Estimated using AADF from previous year on this link,1,45,8013,47,2084,749,10938,515
2021,Estimated using AADF from previous year on this link,1,39,6947,44,1903,733,9665,515
2020,Estimated using AADF from previous year on this link,1,33,6052,36,1583,645,8349,515
2019,Estimated using AADF from previous year on this link,1,57,9007,58,1992,760,11874,515
2018,Manual count,1,56,8931,61,1999,762,11810,515
2017,Estimated using AADF from previous year on this link,0,23,9252,51,2623,760,12709,515
2016,Estimated using AADF from previous year on this link,0,23,9256,50,2462,735,12526,515
2015,Estimated using AADF from previous year on this link,0,22,8987,49,2280,713,12051,515
2014,Estimated using AADF from previous year on this link,0,22,9050,49,2094,677,11891,515
2013,Manual count,0,20,9073,47,2011,687,11838,515
2012,Estimated using AADF from previous year on this link,0,44,7425,70,1724,693,9956,515
2011,Estimated using AADF from previous year on this link,0,48,7484,68,1667,695,9962,515
2010,Estimated using AADF from previous year on this link,0,44,7529,66,1623,712,9974,515
2009,Estimated using AADF from previous year on this link,0,48,7636,64,1574,725,10047,515
2008,Manual count,0,48,7659,62,1577,785,10131,515
2007,Manual count,3,90,7731,78,1586,872,10357,515
2006,Manual count,1,56,7640,89,1624,910,10319,515
2005,Manual count,1,82,7668,49,1510,913,10222,515
2004,Manual count,3,45,7645,69,1564,908,10231,515
2003,Manual count,3,99,7180,86,1351,833,9549,515
2002,Manual count,1,82,7109,85,1217,936,9429,515
2001,Manual count,1,80,7520,115,1199,908,9822,515
2000,Estimated using AADF from previous year on this link,3,60,6766,55,1221,759,8861,515
2024,Estimated using AADF from previous year on this link,6,57,5592,36,1246,204,7135,516
2023,Estimated using AADF from previous year on this link,6,56,5551,36,1212,203,7057,516
2022,Estimated using AADF from previous year on this link,7,57,5470,36,1173,204,6940,516
2021,Manual count,7,50,4742,34,1071,201,6097,516
2020,Estimated using AADF from previous year on this link,11,71,3589,27,814,260,4761,516
2019,Estimated using AADF from previous year on this link,11,121,5341,44,1025,309,6840,516
2018,Estimated using AADF from previous year on this link,9,120,5296,46,1028,311,6801,516
2017,Estimated using AADF from previous year on this link,9,114,5314,47,982,306,6764,516
2016,Estimated using AADF from previous year on this link,10,113,5316,46,922,295,6693,516
2015,Estimated using AADF from previous year on this link,8,109,5162,45,854,284,6455,516
2014,Estimated using AADF from previous year on this link,8,111,5000,42,781,271,6205,516
2013,Manual count,11,100,4936,40,741,272,6089,516
2012,Estimated using AADF from previous year on this link,1,30,4791,92,993,326,6232,516
2011,Estimated using AADF from previous year on this link,1,32,4792,87,949,324,6184,516
2010,Estimated using AADF from previous year on this link,1,30,4754,95,875,323,6077,516
2009,Estimated using AADF from previous year on this link,1,32,4871,90,854,322,6169,516
2008,Estimated using AADF from previous year on this link,1,30,4770,75,850,337,6062,516
2007,Estimated using AADF from previous year on this link,1,33,4867,72,833,338,6143,516
2006,Estimated using AADF from previous year on this link,1,32,4896,69,756,334,6087,516
2005,Manual count,1,32,4753,68,719,329,5901,516
2004,Estimated using AADF from previous year on this link,2,52,4654,109,616,291,5722,516
2003,Estimated using AADF from previous year on this link,2,56,4603,170,579,291,5699,516
2002,Manual count,2,54,4456,88,554,309,5461,516
2001,Estimated using AADF from previous year on this link,2,58,4541,39,624,307,5569,516
2000,Estimated using AADF from previous year on this link,2,53,4537,39,601,303,5533,516
2024,Estimated using AADF from previous year on this link,38,94,4684,49,1190,104,6122,520
2023,Estimated using AADF from previous year on this link,40,95,4628,50,1170,104,6047,520
2022,Estimated using AADF from previous year on this link,42,102,4516,50,1147,106,5922,520
2021,Estimated using AADF from previous year on this link,43,92,4208,47,1030,103,5480,520
2020,Estimated using AADF from previous year on this link,58,89,3848,40,899,96,4971,520
2019,Estimated using AADF from previous year on this link,45,120,5269,62,1050,107,6608,520
2018,Estimated using AADF from previous year on this link,37,112,5258,63,1054,106,6592,520
2017,Manual count,38,114,5283,66,1006,104,6574,520
2016,Manual count,47,44,5572,74,1040,131,6861,520
2015,Estimated using AADF from previous year on this link,13,44,4247,66,1177,129,5663,520
2014,Estimated using AADF from previous year on this link,13,46,4298,65,1099,127,5635,520
2013,Estimated using AADF from previous year on this link,17,45,4239,63,1023,124,5494,520
2012,Estimated using AADF from previous year on this link,17,44,4318,69,953,123,5508,520
2011,Estimated using AADF from previous year on this link,18,48,4443,70,908,121,5590,520
2010,Manual count,21,44,4429,67,858,116,5514,520
2009,Estimated using AADF from previous year on this link,73,152,7298,92,1142,299,8983,520
2008,Estimated using AADF from previous year on this link,64,146,7387,92,1121,322,9068,520
2007,Manual count,62,146,7670,84,1121,333,9354,520
2006,Estimated using AADF from previous year on this link,76,161,7928,88,1418,272,9867,520
2005,Estimated using AADF from previous year on this link,78,191,7712,93,1351,267,9614,520
2004,Manual count,76,207,7719,93,1287,272,9578,520
2003,Estimated using AADF from previous year on this link,17,96,4668,66,936,173,5939,520
2002,Manual count,20,79,4627,64,831,175,5776,520
2001,Estimated using AADF from previous year on this link,53,142,7232,118,1023,429,8944,520
2000,Estimated using AADF from previous year on this link,60,128,7210,120,989,430,8877,520
2020,Estimated using AADF from previous year on this link,22,55,7198,57,1220,365,8896,521
2019,Manual count,17,74,9857,88,1426,410,11856,521
2018,Estimated using AADF from previous year on this link,35,190,11391,91,1900,349,13921,521
2017,Estimated using AADF from previous year on this link,36,195,11446,95,1814,341,13892,521
2016,Estimated using AADF from previous year on this link,36,200,11460,98,1715,332,13805,521
2015,Manual count,36,200,11319,99,1588,317,13523,521
2014,Estimated using AADF from previous year on this link,4,51,9456,74,1811,220,11612,521
2013,Estimated using AADF from previous year on this link,5,49,9325,72,1685,217,11349,521
2012,Estimated using AADF from previous year on this link,5,49,9501,79,1570,214,11413,521
2011,Estimated using AADF from previous year on this link,5,53,9775,80,1496,211,11615,521
2010,Manual count,5,48,9746,76,1414,207,11491,521
2009,Estimated using AADF from previous year on this link,16,308,10391,91,1536,384,12710,521
2008,Manual count,14,295,10517,91,1507,421,12831,521
2007,Manual count,8,100,14157,78,740,310,15385,521
2006,Manual count,3,114,9759,85,913,743,11614,521
2005,Manual count,12,156,11063,80,1129,400,12828,521
2004,Manual count,7,190,12261,116,1289,374,14230,521
2003,Manual count,14,278,12721,75,1420,457,14951,521
2002,Manual count,15,215,11965,115,1253,404,13952,521
2001,Manual count,19,194,10428,79,1294,439,12434,521
2000,Estimated using AADF from previous year on this link,14,190,12129,98,1282,263,13962,521
2024,Estimated using AADF from previous year on this link,57,122,16102,102,2904,169,19399,522
2023,Estimated using AADF from previous year on this link,56,118,15862,101,2853,169,19103,522
2022,Estimated using AADF from previous year on this link,57,120,15569,100,2806,172,18766,522
2021,Manual count,64,110,14576,93,2588,166,17533,522
2020,Estimated using AADF from previous year on this link,29,45,12713,90,3044,297,16188,522
2019,Estimated using AADF from previous year on this link,26,60,16737,142,3450,338,20727,522
2018,Estimated using AADF from previous year on this link,23,64,16529,140,3480,339,20553,522
2017,Estimated using AADF from previous year on this link,21,65,16713,155,3416,336,20685,522
2016,Estimated using AADF from previous year on this link,22,64,16837,166,3245,334,20646,522
2015,Estimated using AADF from previous year on this link,24,66,16579,179,2971,327,20121,522
2014,Manual count,25,65,16889,180,2824,328,20286,522
2013,Estimated using AADF from previous year on this link,59,75,16527,271,2328,446,19646,522
2012,Estimated using AADF from previous year on this link,60,67,16674,259,2240,428,19668,522
2011,Estimated using AADF from previous year on this link,63,70,16938,238,2214,416,19876,522
2010,Estimated using AADF from previous year on this link,57,83,16989,251,1984,398,19705,522
2009,Estimated using AADF from previous year on this link,57,87,17092,221,1858,390,19648,522
2008,Manual count,57,78,16724,223,1830,417,19272,522
2007,Manual count,32,110,21616,261,1308,374,23669,522
2006,Manual count,38,77,15316,293,1974,577,18237,522
2005,Estimated using AADF from previous year on this link,44,124,18249,292,1957,367,20989,522
2004,Manual count,52,123,18716,297,1907,383,21426,522
2003,Manual count,60,115,19081,260,2142,452,22050,522
2002,Manual count,33,139,17029,326,1791,465,19750,522
2001,Manual count,58,136,19268,370,1883,445,22102,522
2000,Manual count,46,156,17468,330,1905,470,20329,522
2024,Estimated using AADF from previous year on this link,0,62,25537,121,6226,1677,33623,524
2023,Estimated using AADF from previous year on this link,0,61,25350,121,6054,1671,33257,524
2022,Manual count,0,62,24978,121,5859,1691,32711,524
2021,Estimated using AADF from previous year on this link,0,34,14732,46,5179,3102,23093,524
2020,Manual count,0,29,12834,38,4309,2724,19934,524
2019,Estimated using AADF from previous year on this link,0,110,27097,201,5357,1897,34661,524
2018,Estimated using AADF from previous year on this link,0,109,26870,210,5376,1904,34468,524
2017,Estimated using AADF from previous year on this link,0,104,26961,217,5134,1878,34294,524
2016,Manual count,0,103,26973,211,4819,1817,33923,524
2015,Estimated using AADF from previous year on this link,0,126,18220,74,3906,1659,23986,524
2014,Estimated using AADF from previous year on this link,0,126,18348,73,3588,1583,23718,524
2013,Manual count,0,115,18394,70,3446,1621,23647,524
2012,Estimated using AADF from previous year on this link,0,61,18149,96,3585,1630,23520,524
2011,Manual count,0,66,18294,93,3466,1676,23595,524
